Manufacturer ,Arxo
Name ,T.A 15.000L Diam 2549
Volume (L),15309
Diameter,2.549
Level (cm) ,Volume (L) 
1,6
2,18
3,33
4,51
5,71
6,93
7,117
8,143
9,171
10,200
11,230
12,262
13,295
14,329
15,364
16,401
17,439
18,477
19,517
20,558
21,599
22,642
23,685
24,729
25,774
26,820
27,867
28,914
29,963
30,1011
31,1061
32,1111
33,1162
34,1214
35,1266
36,1319
37,1373
38,1427
39,1482
40,1537
41,1593
42,1650
43,1707
44,1764
45,1822
46,1881
47,1940
48,1999
49,2059
50,2120
51,2181
52,2242
53,2304
54,2366
55,2429
56,2492
57,2556
58,2620
59,2684
60,2749
61,2814
62,2879
63,2945
64,3011
65,3078
66,3144
67,3212
68,3279
69,3347
70,3415
71,3483
72,3552
73,3621
74,3690
75,3760
76,3830
77,3900
78,3970
79,4041
80,4112
81,4183
82,4254
83,4326
84,4397
85,4469
86,4542
87,4614
88,4687
89,4760
90,4833
91,4906
92,4979
93,5053
94,5126
95,5200
96,5274
97,5348
98,5423
99,5497
100,5572
101,5647
102,5721
103,5796
104,5872
105,5947
106,6022
107,6097
108,6173
109,6249
110,6324
111,6400
112,6476
113,6552
114,6628
115,6704
116,6780
117,6856
118,6933
119,7009
120,7085
121,7162
122,7238
123,7314
124,7391
125,7467
126,7544
127,7620
128,7697
129,7773
130,7850
131,7926
132,8002
133,8079
134,8155
135,8232
136,8308
137,8384
138,8460
139,8537
140,8613
141,8689
142,8765
143,8841
144,8917
145,8992
146,9068
147,9144
148,9219
149,9295
150,9370
151,9445
152,9520
153,9595
154,9670
155,9745
156,9819
157,9894
158,9968
159,10042
160,10116
161,10190
162,10264
163,10337
164,10411
165,10484
166,10557
167,10630
168,10702
169,10775
170,10847
171,10919
172,10991
173,11062
174,11133
175,11205
176,11275
177,11346
178,11416
179,11486
180,11556
181,11626
182,11695
183,11764
184,11833
185,11901
186,11969
187,12037
188,12104
189,12171
190,12238
191,12305
192,12371
193,12436
194,12502
195,12567
196,12632
197,12696
198,12760
199,12823
200,12886
201,12949
202,13011
203,13073
204,13134
205,13195
206,13255
207,13315
208,13375
209,13434
210,13493
211,13551
212,13608
213,13665
214,13722
215,13777
216,13833
217,13887
218,13942
219,13995
220,14048
221,14100
222,14152
223,14203
224,14253
225,14303
226,14351
227,14400
228,14447
229,14494
230,14539
231,14584
232,14628
233,14672
234,14714
235,14756
236,14796
237,14836
238,14874
239,14912
240,14948
241,14984
242,15018
243,15051
244,15082
245,15113
246,15141
247,15169
248,15194
249,15218
250,15240
251,15260
252,15278
253,15292
254,15304
255,15309
