Manufacturer ,Arxo
Name ,T.A 15.000L 7-5
Volume (L),7725
Diameter,1.91
Level (cm) ,Volume (L) 
1,5
2,14
3,26
4,39
5,55
6,72
7,91
8,111
9,132
10,155
11,178
12,203
13,228
14,254
15,282
16,310
17,339
18,368
19,399
20,430
21,462
22,495
23,528
24,562
25,596
26,631
27,667
28,703
29,739
30,777
31,814
32,853
33,891
34,931
35,970
36,1010
37,1051
38,1092
39,1133
40,1175
41,1217
42,1259
43,1302
44,1345
45,1389
46,1433
47,1477
48,1521
49,1566
50,1611
51,1657
52,1702
53,1748
54,1795
55,1841
56,1888
57,1935
58,1982
59,2030
60,2077
61,2125
62,2173
63,2222
64,2270
65,2319
66,2368
67,2417
68,2466
69,2515
70,2565
71,2615
72,2665
73,2715
74,2765
75,2815
76,2865
77,2916
78,2966
79,3017
80,3068
81,3119
82,3169
83,3220
84,3272
85,3323
86,3374
87,3425
88,3476
89,3528
90,3579
91,3631
92,3682
93,3734
94,3785
95,3837
96,3888
97,3940
98,3991
99,4042
100,4094
101,4145
102,4197
103,4248
104,4299
105,4351
106,4402
107,4453
108,4504
109,4555
110,4606
111,4657
112,4708
113,4758
114,4809
115,4859
116,4910
117,4960
118,5010
119,5060
120,5110
121,5160
122,5209
123,5259
124,5308
125,5357
126,5406
127,5454
128,5503
129,5551
130,5599
131,5647
132,5695
133,5742
134,5790
135,5837
136,5883
137,5930
138,5976
139,6022
140,6068
141,6113
142,6158
143,6203
144,6248
145,6292
146,6336
147,6379
148,6423
149,6465
150,6508
151,6550
152,6592
153,6633
154,6674
155,6714
156,6754
157,6794
158,6833
159,6872
160,6910
161,6948
162,6985
163,7022
164,7058
165,7094
166,7129
167,7163
168,7197
169,7230
170,7263
171,7294
172,7326
173,7356
174,7386
175,7415
176,7443
177,7470
178,7497
179,7522
180,7547
181,7570
182,7592
183,7614
184,7634
185,7652
186,7670
187,7685
188,7699
189,7711
190,7720
191,7725
