Manufacturer ,Arxo
Name ,T.A 15.000L DIAM 1910
Volume (L),15472
Diameter,1.91
Level (cm) ,Volume (L) 
1,10
2,28
3,51
4,79
5,110
6,145
7,182
8,222
9,265
10,310
11,357
12,406
13,457
14,510
15,564
16,621
17,679
18,738
19,799
20,862
21,925
22,991
23,1057
24,1125
25,1194
26,1264
27,1335
28,1408
29,1481
30,1556
31,1631
32,1708
33,1785
34,1864
35,1943
36,2023
37,2104
38,2186
39,2269
40,2353
41,2437
42,2522
43,2608
44,2694
45,2782
46,2869
47,2958
48,3047
49,3137
50,3227
51,3318
52,3410
53,3502
54,3595
55,3688
56,3781
57,3876
58,3970
59,4065
60,4161
61,4257
62,4353
63,4450
64,4547
65,4645
66,4743
67,4841
68,4939
69,5038
70,5138
71,5237
72,5337
73,5437
74,5537
75,5638
76,5739
77,5840
78,5941
79,6043
80,6144
81,6246
82,6348
83,6451
84,6553
85,6655
86,6758
87,6861
88,6963
89,7066
90,7169
91,7272
92,7375
93,7478
94,7581
95,7685
96,7788
97,7891
98,7994
99,8097
100,8200
101,8303
102,8406
103,8509
104,8612
105,8714
106,8817
107,8919
108,9022
109,9124
110,9226
111,9328
112,9429
113,9531
114,9632
115,9733
116,9834
117,9935
118,10035
119,10135
120,10235
121,10335
122,10434
123,10533
124,10631
125,10730
126,10828
127,10925
128,11022
129,11119
130,11215
131,11311
132,11407
133,11502
134,11597
135,11691
136,11784
137,11878
138,11970
139,12062
140,12154
141,12245
142,12335
143,12425
144,12514
145,12603
146,12691
147,12778
148,12864
149,12950
150,13035
151,13119
152,13203
153,13286
154,13368
155,13449
156,13529
157,13608
158,13687
159,13764
160,13841
161,13916
162,13991
163,14064
164,14137
165,14208
166,14278
167,14347
168,14415
169,14482
170,14547
171,14611
172,14673
173,14734
174,14794
175,14852
176,14908
177,14963
178,15015
179,15066
180,15115
181,15162
182,15207
183,15250
184,15290
185,15327
186,15362
187,15393
188,15421
189,15444
190,15462
191,15472
