Manufacturer ,Arxo
Name ,T.A 20.000L PLENO 1910
Volume (L),20655
Diameter,1.91
Level (cm) ,Volume (L) 
1,13
2,37
3,69
4,106
5,147
6,193
7,243
8,297
9,354
10,413
11,476
12,542
13,610
14,680
15,753
16,828
17,906
18,985
19,1067
20,1150
21,1235
22,1322
23,1411
24,1502
25,1594
26,1687
27,1783
28,1879
29,1977
30,2077
31,2178
32,2280
33,2383
34,2488
35,2594
36,2701
37,2809
38,2919
39,3029
40,3141
41,3253
42,3367
43,3482
44,3597
45,3713
46,3831
47,3949
48,4068
49,4188
50,4308
51,4430
52,4552
53,4675
54,4799
55,4923
56,5048
57,5174
58,5300
59,5427
60,5555
61,5683
62,5811
63,5941
64,6070
65,6201
66,6331
67,6462
68,6594
69,6726
70,6859
71,6992
72,7125
73,7258
74,7392
75,7527
76,7661
77,7796
78,7932
79,8067
80,8203
81,8339
82,8475
83,8611
84,8748
85,8885
86,9022
87,9159
88,9296
89,9433
90,9571
91,9708
92,9846
93,9983
94,10121
95,10259
96,10396
97,10534
98,10672
99,10809
100,10947
101,11085
102,11222
103,11359
104,11496
105,11634
106,11770
107,11907
108,12044
109,12180
110,12316
111,12452
112,12588
113,12724
114,12859
115,12994
116,13129
117,13263
118,13397
119,13530
120,13664
121,13797
122,13929
123,14061
124,14193
125,14324
126,14455
127,14585
128,14715
129,14844
130,14973
131,15101
132,15228
133,15355
134,15481
135,15607
136,15732
137,15857
138,15980
139,16103
140,16225
141,16347
142,16467
143,16587
144,16706
145,16825
146,16942
147,17058
148,17174
149,17288
150,17402
151,17514
152,17626
153,17736
154,17846
155,17954
156,18061
157,18167
158,18272
159,18375
160,18478
161,18578
162,18678
163,18776
164,18873
165,18968
166,19062
167,19154
168,19244
169,19333
170,19420
171,19505
172,19589
173,19670
174,19749
175,19827
176,19902
177,19975
178,20046
179,20114
180,20179
181,20242
182,20302
183,20359
184,20412
185,20462
186,20508
187,20550
188,20587
189,20618
190,20642
191,20655
