Manufacturer ,Arxo,
Name ,T.A 20.000L PLENO 2549,
Volume (L),20405,
Diameter,2.549,
Level (cm) ,Volume (L) ,
1,9,
2,24,
3,44,
4,68,
5,95,
6,124,
7,156,
8,191,
9,227,
10,266,
11,307,
12,349,
13,393,
14,439,
15,486,
16,535,
17,585,
18,636,
19,689,
20,743,
21,799,
22,856,
23,913,
24,972,
25,1032,
26,1094,
27,1156,
28,1219,
29,1283,
30,1349,
31,1415,
32,1482,
33,1550,
34,1619,
35,1689,
36,1759,
37,1831,
38,1903,
39,1976,
40,2050,
41,2124,
42,2200,
43,2276,
44,2352,
45,2430,
46,2508,
47,2586,
48,2666,
49,2746,
50,2827,
51,2908,
52,2990,
53,3072,
54,3155,
55,3239,
56,3323,
57,3408,
58,3493,
59,3579,
60,3665,
61,3752,
62,3839,
63,3927,
64,4015,
65,4104,
66,4193,
67,4282,
68,4372,
69,4463,
70,4553,
71,4645,
72,4736,
73,4828,
74,4921,
75,5013,
76,5106,
77,5200,
78,5294,
79,5388,
80,5482,
81,5577,
82,5672,
83,5768,
84,5863,
85,5959,
86,6056,
87,6152,
88,6249,
89,6346,
90,6443,
91,6541,
92,6639,
93,6737,
94,6835,
95,6934,
96,7032,
97,7131,
98,7230,
99,7330,
100,7429,
101,7529,
102,7629,
103,7729,
104,7829,
105,7929,
106,8029,
107,8130,
108,8231,
109,8332,
110,8432,
111,8534,
112,8635,
113,8736,
114,8837,
115,8939,
116,9040,
117,9142,
118,9243,
119,9345,
120,9447,
121,9549,
122,9651,
123,9752,
124,9854,
125,9956,
126,10058,
127,10160,
128,10262,
129,10364,
130,10466,
131,10568,
132,10670,
133,10772,
134,10874,
135,10975,
136,11077,
137,11179,
138,11281,
139,11382,
140,11484,
141,11585,
142,11686,
143,11788,
144,11889,
145,11990,
146,12091,
147,12192,
148,12292,
149,12393,
150,12493,
151,12594,
152,12694,
153,12794,
154,12893,
155,12993,
156,13093,
157,13192,
158,13291,
159,13390,
160,13488,
161,13587,
162,13685,
163,13783,
164,13881,
165,13979,
166,14076,
167,14173,
168,14270,
169,14366,
170,14462,
171,14558,
172,14654,
173,14750,
174,14845,
175,14939,
176,15034,
177,15128,
178,15222,
179,15315,
180,15408,
181,15501,
182,15593,
183,15685,
184,15777,
185,15868,
186,15959,
187,16049,
188,16139,
189,16228,
190,16318,
191,16406,
192,16494,
193,16582,
194,16669,
195,16756,
196,16842,
197,16928,
198,17013,
199,17098,
200,17182,
201,17265,
202,17348,
203,17431,
204,17512,
205,17594,
206,17674,
207,17754,
208,17833,
209,17912,
210,17990,
211,18068,
212,18144,
213,18220,
214,18295,
215,18370,
216,18444,
217,18517,
218,18589,
219,18660,
220,18731,
221,18800,
222,18869,
223,18937,
224,19004,
225,19070,
226,19135,
227,19199,
228,19263,
229,19325,
230,19386,
231,19446,
232,19505,
233,19562,
234,19619,
235,19674,
236,19728,
237,19781,
238,19833,
239,19883,
240,19931,
241,19978,
242,20024,
243,20068,
244,20110,
245,20150,
246,20188,
247,20225,
248,20259,
249,20291,
250,20320,
251,20347,
252,20370,
253,20390,
254,20405,
