Manufacturer ,Arxo
Name ,T.A 3.000L Pleno 
Volume (L),3028
Diameter,1.45
Level (cm) ,Volume (L) 
1,3
2,8
3,15
4,23
5,33
6,43
7,54
8,66
9,78
10,91
11,105
12,119
13,134
14,150
15,166
16,182
17,199
18,216
19,234
20,252
21,271
22,290
23,309
24,328
25,348
26,369
27,389
28,410
29,431
30,453
31,474
32,496
33,518
34,541
35,563
36,586
37,609
38,633
39,656
40,680
41,704
42,728
43,752
44,776
45,801
46,826
47,850
48,875
49,900
50,926
51,951
52,976
53,1002
54,1028
55,1053
56,1079
57,1105
58,1131
59,1157
60,1183
61,1210
62,1236
63,1262
64,1289
65,1315
66,1342
67,1368
68,1395
69,1421
70,1448
71,1474
72,1501
73,1528
74,1554
75,1581
76,1607
77,1634
78,1660
79,1687
80,1713
81,1740
82,1766
83,1792
84,1819
85,1845
86,1871
87,1897
88,1923
89,1949
90,1975
91,2001
92,2026
93,2052
94,2077
95,2103
96,2128
97,2153
98,2178
99,2203
100,2228
101,2252
102,2277
103,2301
104,2325
105,2349
106,2372
107,2396
108,2419
109,2442
110,2465
111,2488
112,2510
113,2532
114,2554
115,2576
116,2597
117,2618
118,2639
119,2660
120,2680
121,2700
122,2720
123,2739
124,2758
125,2776
126,2794
127,2812
128,2830
129,2846
130,2863
131,2879
132,2894
133,2909
134,2924
135,2937
136,2950
137,2963
138,2975
139,2986
140,2996
141,3005
142,3013
143,3020
144,3026
145,3028
