Manufacturer ,Arxo
Name ,T.A 30.000L10_10_10  2549 COMP A
Volume (L),10207
Diameter,2.549
Level (cm) ,Volume (L) 
1,4.11
2,11.74
3,21.68
4,33.48
5,46.89
6,61.72
7,77.83
8,95.12
9,113.5
10,132.87
11,153.18
12,174.38
13,196.41
14,219.25
15,242.85
16,267.19
17,292.24
18,317.97
19,344.36
20,371.39
21,399.03
22,427.27
23,456.11
24,485.53
25,515.51
26,546.04
27,577.1
28,608.69
29,640.78
30,673.37
31,706.44
32,739.98
33,773.98
34,808.43
35,843.32
36,878.64
37,914.38
38,950.52
39,987.07
40,1024
41,1061.33
42,1099.02
43,1137.09
44,1175.51
45,1214.29
46,1253.41
47,1292.87
48,1332.66
49,1372.77
50,1413.2
51,1453.94
52,1494.99
53,1536.33
54,1577.97
55,1619.88
56,1662.07
57,1704.53
58,1747.24
59,1790.22
60,1833.44
61,1876.9
62,1920.61
63,1964.55
64,2008.72
65,2053.12
66,2097.74
67,2142.57
68,2187.62
69,2232.87
70,2278.32
71,2323.97
72,2369.82
73,2415.86
74,2462.08
75,2508.48
76,2555.06
77,2601.82
78,2648.74
79,2695.83
80,2743.07
81,2790.48
82,2838.04
83,2885.75
84,2933.61
85,2981.61
86,3029.74
87,3078.02
88,3126.42
89,3174.95
90,3223.61
91,3272.38
92,3321.28
93,3370.28
94,3419.4
95,3468.62
96,3517.95
97,3567.38
98,3616.9
99,3666.52
100,3716.23
101,3766.02
102,3815.9
103,3865.85
104,3915.89
105,3965.99
106,4016.17
107,4066.41
108,4116.72
109,4167.09
110,4217.52
111,4268
112,4318.53
113,4369.11
114,4419.73
115,4470.4
116,4521.1
117,4571.84
118,4622.61
119,4673.41
120,4724.24
121,4775.09
122,4825.96
123,4876.85
124,4927.75
125,4978.66
126,5029.58
127,5080.5
128,5131.43
129,5182.35
130,5233.27
131,5284.18
132,5335.08
133,5385.96
134,5436.83
135,5487.68
136,5538.5
137,5589.3
138,5640.07
139,5690.8
140,5741.51
141,5792.17
142,5842.79
143,5893.36
144,5943.89
145,5994.36
146,6044.78
147,6095.15
148,6145.45
149,6195.68
150,6245.85
151,6295.95
152,6345.98
153,6395.93
154,6445.8
155,6495.58
156,6545.28
157,6594.89
158,6644.4
159,6693.82
160,6743.14
161,6792.35
162,6841.46
163,6890.45
164,6939.33
165,6988.1
166,7036.74
167,7085.26
168,7133.65
169,7181.91
170,7230.03
171,7278.02
172,7325.86
173,7373.55
174,7421.1
175,7468.49
176,7515.72
177,7562.8
178,7609.7
179,7656.44
180,7703
181,7749.39
182,7795.59
183,7841.61
184,7887.43
185,7933.07
186,7978.5
187,8023.73
188,8068.76
189,8113.57
190,8158.16
191,8202.54
192,8246.69
193,8290.6
194,8334.29
195,8377.73
196,8420.93
197,8463.87
198,8506.56
199,8548.99
200,8591.16
201,8633.04
202,8674.65
203,8715.96
204,8756.98
205,8797.69
206,8838.09
207,8878.17
208,8917.93
209,8957.35
210,8996.44
211,9035.18
212,9073.57
213,9111.6
214,9149.26
215,9186.54
216,9223.44
217,9259.95
218,9296.05
219,9331.74
220,9367.02
221,9401.86
222,9436.27
223,9470.22
224,9503.72
225,9536.74
226,9569.28
227,9601.33
228,9632.86
229,9663.87
230,9694.35
231,9724.27
232,9753.63
233,9782.41
234,9810.59
235,9838.18
236,9865.14
237,9891.46
238,9917.13
239,9942.11
240,9966.38
241,9989.91
242,10012.66
243,10034.62
244,10055.72
245,10075.94
246,10095.22
247,10113.49
248,10130.67
249,10146.66
250,10161.35
251,10174.6
252,10186.24
253,10195.97
254,10203.32
255,10206.83
