Manufacturer ,Arxo
Name ,T.A 30.000L10_10_10  2549 COMP B
Volume (L),10134
Diameter,2.549
Level (cm) ,Volume (L) 
1,4.37
2,12.19
3,22.2
4,33.96
5,47.22
6,61.82
7,77.64
8,94.57
9,112.55
10,131.55
11,151.54
12,172.45
13,194.25
14,216.89
15,240.33
16,264.55
17,289.52
18,315.2
19,341.57
20,368.62
21,396.31
22,424.61
23,453.5
24,482.94
25,512.92
26,543.42
27,574.42
28,605.92
29,637.89
30,670.34
31,703.24
32,736.58
33,770.37
34,804.57
35,839.19
36,874.22
37,909.64
38,945.45
39,981.64
40,1018.2
41,1055.13
42,1092.4
43,1130.03
44,1168
45,1206.3
46,1244.93
47,1283.87
48,1323.13
49,1362.7
50,1402.57
51,1442.73
52,1483.18
53,1523.91
54,1564.93
55,1606.23
56,1647.82
57,1689.67
58,1731.8
59,1774.2
60,1816.86
61,1859.78
62,1902.96
63,1946.37
64,1990.04
65,2033.93
66,2078.06
67,2122.42
68,2167
69,2211.8
70,2256.81
71,2302.03
72,2347.45
73,2393.07
74,2438.89
75,2484.89
76,2531.09
77,2577.46
78,2624.02
79,2670.75
80,2717.64
81,2764.71
82,2811.93
83,2859.32
84,2906.85
85,2954.54
86,3002.37
87,3050.34
88,3098.45
89,3146.7
90,3195.08
91,3243.58
92,3292.21
93,3340.95
94,3389.82
95,3438.79
96,3487.87
97,3537.06
98,3586.35
99,3635.74
100,3685.22
101,3734.8
102,3784.46
103,3834.2
104,3884.03
105,3933.93
106,3983.91
107,4033.96
108,4084.07
109,4134.25
110,4184.49
111,4234.78
112,4285.13
113,4335.53
114,4385.98
115,4436.47
116,4487
117,4537.57
118,4588.17
119,4638.81
120,4689.47
121,4740.15
122,4790.86
123,4841.58
124,4892.32
125,4943.07
126,4993.83
127,5044.59
128,5095.35
129,5146.11
130,5196.87
131,5247.62
132,5298.35
133,5349.07
134,5399.78
135,5450.46
136,5501.12
137,5551.75
138,5602.35
139,5652.91
140,5703.44
141,5753.93
142,5804.37
143,5854.77
144,5905.11
145,5955.4
146,6005.63
147,6055.81
148,6105.91
149,6155.95
150,6205.92
151,6255.82
152,6305.64
153,6355.37
154,6405.03
155,6454.59
156,6504.06
157,6553.44
158,6602.72
159,6651.9
160,6700.97
161,6749.94
162,6798.79
163,6847.52
164,6896.14
165,6944.63
166,6992.99
167,7041.22
168,7089.32
169,7137.28
170,7185.1
171,7232.77
172,7280.29
173,7327.66
174,7374.87
175,7421.91
176,7468.79
177,7515.5
178,7562.04
179,7608.4
180,7654.58
181,7700.56
182,7746.36
183,7791.96
184,7837.37
185,7882.56
186,7927.55
187,7972.33
188,8016.89
189,8061.22
190,8105.33
191,8149.2
192,8192.84
193,8236.23
194,8279.38
195,8322.27
196,8364.91
197,8407.28
198,8449.39
199,8491.22
200,8532.77
201,8574.04
202,8615.03
203,8655.74
204,8696.16
205,8736.3
206,8776.13
207,8815.67
208,8854.9
209,8893.81
210,8932.41
211,8970.67
212,9008.61
213,9046.2
214,9083.44
215,9120.33
216,9156.85
217,9193.01
218,9228.78
219,9264.16
220,9299.15
221,9333.73
222,9367.89
223,9401.63
224,9434.93
225,9467.79
226,9500.19
227,9532.11
228,9563.56
229,9594.51
230,9624.96
231,9654.88
232,9684.27
233,9713.1
234,9741.35
235,9768.98
236,9795.95
237,9822.26
238,9847.87
239,9872.76
240,9896.91
241,9920.27
242,9942.83
243,9964.54
244,9985.37
245,10005.26
246,10024.16
247,10042.04
248,10058.86
249,10074.55
250,10089.03
251,10102.15
252,10113.75
253,10123.56
254,10131.12
255,10134.86
