Manufacturer ,Arxo
Name ,T.A 30.000L PLENO
Volume (L),30607
Diameter,2.549
Level (cm) ,Volume (L) 
1,13
2,36
3,66
4,102
5,142
6,186
7,235
8,286
9,341
10,399
11,460
12,523
13,589
14,658
15,729
16,802
17,877
18,954
19,1034
20,1115
21,1198
22,1283
23,1370
24,1459
25,1549
26,1641
27,1734
28,1829
29,1925
30,2023
31,2122
32,2223
33,2325
34,2428
35,2533
36,2639
37,2746
38,2854
39,2964
40,3075
41,3186
42,3299
43,3413
44,3528
45,3644
46,3762
47,3880
48,3999
49,4119
50,4240
51,4362
52,4485
53,4608
54,4733
55,4858
56,4985
57,5112
58,5239
59,5368
60,5497
61,5628
62,5758
63,5890
64,6022
65,6155
66,6289
67,6423
68,6558
69,6694
70,6830
71,6967
72,7104
73,7242
74,7381
75,7520
76,7660
77,7800
78,7941
79,8082
80,8223
81,8366
82,8508
83,8651
84,8795
85,8939
86,9083
87,9228
88,9373
89,9519
90,9665
91,9811
92,9958
93,10105
94,10253
95,10400
96,10548
97,10697
98,10845
99,10994
100,11144
101,11293
102,11443
103,11593
104,11743
105,11893
106,12044
107,12195
108,12346
109,12497
110,12649
111,12800
112,12952
113,13104
114,13256
115,13408
116,13560
117,13713
118,13865
119,14018
120,14170
121,14323
122,14476
123,14629
124,14782
125,14934
126,15087
127,15240
128,15393
129,15546
130,15699
131,15852
132,16005
133,16158
134,16310
135,16463
136,16616
137,16768
138,16921
139,17073
140,17225
141,17378
142,17530
143,17681
144,17833
145,17985
146,18136
147,18287
148,18438
149,18589
150,18740
151,18890
152,19040
153,19190
154,19340
155,19490
156,19639
157,19788
158,19936
159,20085
160,20233
161,20380
162,20528
163,20675
164,20822
165,20968
166,21114
167,21259
168,21405
169,21549
170,21694
171,21838
172,21981
173,22124
174,22267
175,22409
176,22551
177,22692
178,22832
179,22973
180,23112
181,23251
182,23390
183,23528
184,23665
185,23802
186,23938
187,24074
188,24208
189,24343
190,24476
191,24609
192,24741
193,24873
194,25004
195,25134
196,25263
197,25392
198,25519
199,25646
200,25773
201,25898
202,26022
203,26146
204,26269
205,26391
206,26511
207,26631
208,26750
209,26868
210,26985
211,27101
212,27216
213,27330
214,27443
215,27555
216,27665
217,27775
218,27883
219,27990
220,28096
221,28200
222,28304
223,28405
224,28506
225,28605
226,28703
227,28799
228,28894
229,28987
230,29079
231,29169
232,29257
233,29344
234,29428
235,29511
236,29592
237,29672
238,29749
239,29824
240,29897
241,29967
242,30036
243,30101
244,30165
245,30225
246,30283
247,30337
248,30389
249,30437
250,30481
251,30520
252,30555
253,30585
254,30607
