Manufacturer ,Arxo
Name ,T.A 60.000L15_15_15_15  2549 COMP B
Volume (L),15278
Diameter,2.549
Level (cm) ,Volume (L) 
1,6.37
2,17.98
3,33
4,50.75
5,70.84
6,93.01
7,117.06
8,142.85
9,170.25
10,199.16
11,229.49
12,261.17
13,294.12
14,328.31
15,363.66
16,400.13
17,437.69
18,476.28
19,515.88
20,556.45
21,597.95
22,640.37
23,683.67
24,727.83
25,772.81
26,818.61
27,865.2
28,912.55
29,960.65
30,1009.47
31,1059.01
32,1109.24
33,1160.15
34,1211.72
35,1263.94
36,1316.78
37,1370.24
38,1424.31
39,1478.97
40,1534.2
41,1590
42,1646.35
43,1703.24
44,1760.66
45,1818.6
46,1877.05
47,1935.99
48,1995.43
49,2055.34
50,2115.72
51,2176.55
52,2237.84
53,2299.57
54,2361.72
55,2424.3
56,2487.29
57,2550.69
58,2614.49
59,2678.67
60,2743.24
61,2808.17
62,2873.48
63,2939.14
64,3005.16
65,3071.51
66,3138.21
67,3205.23
68,3272.58
69,3340.24
70,3408.21
71,3476.49
72,3545.06
73,3613.92
74,3683.06
75,3752.48
76,3822.17
77,3892.12
78,3962.33
79,4032.8
80,4103.5
81,4174.45
82,4245.64
83,4317.05
84,4388.69
85,4460.54
86,4532.6
87,4604.87
88,4677.35
89,4750.01
90,4822.87
91,4895.9
92,4969.12
93,5042.51
94,5116.07
95,5189.8
96,5263.68
97,5337.71
98,5411.89
99,5486.21
100,5560.67
101,5635.26
102,5709.98
103,5784.82
104,5859.78
105,5934.84
106,6010.02
107,6085.3
108,6160.68
109,6236.14
110,6311.7
111,6387.34
112,6463.06
113,6538.85
114,6614.71
115,6690.63
116,6766.61
117,6842.64
118,6918.73
119,6994.85
120,7071.02
121,7147.23
122,7223.46
123,7299.72
124,7376
125,7452.3
126,7528.6
127,7604.92
128,7681.24
129,7757.55
130,7833.86
131,7910.15
132,7986.43
133,8062.69
134,8138.92
135,8215.12
136,8291.28
137,8367.41
138,8443.49
139,8519.52
140,8595.49
141,8671.41
142,8747.26
143,8823.04
144,8898.75
145,8974.38
146,9049.93
147,9125.39
148,9200.75
149,9276.02
150,9351.19
151,9426.25
152,9501.19
153,9576.02
154,9650.73
155,9725.31
156,9799.75
157,9874.06
158,9948.22
159,10022.24
160,10096.11
161,10169.81
162,10243.35
163,10316.73
164,10389.93
165,10462.95
166,10535.79
167,10608.43
168,10680.88
169,10753.13
170,10825.18
171,10897.01
172,10968.62
173,11040.01
174,11111.17
175,11182.1
176,11252.78
177,11323.22
178,11393.41
179,11463.34
180,11533
181,11602.39
182,11671.5
183,11740.33
184,11808.87
185,11877.12
186,11945.06
187,12012.69
188,12080.01
189,12147
190,12213.66
191,12279.98
192,12345.96
193,12411.59
194,12476.86
195,12541.76
196,12606.29
197,12670.43
198,12734.19
199,12797.55
200,12860.5
201,12923.04
202,12985.15
203,13046.83
204,13108.07
205,13168.86
206,13229.2
207,13289.06
208,13348.44
209,13407.34
210,13465.74
211,13523.63
212,13581
213,13637.83
214,13694.13
215,13749.87
216,13805.05
217,13859.65
218,13913.65
219,13967.05
220,14019.84
221,14071.99
222,14123.49
223,14174.33
224,14224.49
225,14273.96
226,14322.72
227,14370.74
228,14418.02
229,14464.53
230,14510.24
231,14555.15
232,14599.22
233,14642.43
234,14684.76
235,14726.17
236,14766.65
237,14806.15
238,14844.64
239,14882.09
240,14918.45
241,14953.69
242,14987.75
243,15020.58
244,15052.13
245,15082.32
246,15111.08
247,15138.33
248,15163.95
249,15187.82
250,15209.79
251,15229.66
252,15247.15
253,15261.87
254,15273.09
255,15278.52
