Manufacturer ,Arxo
Name ,T.A 60.000L15_15_15_15  2549 COMP C
Volume (L),15237
Diameter,2.549
Level (cm) ,Volume (L) 
1,6.5
2,18.2
3,33.22
4,50.91
5,70.88
6,92.89
7,116.74
8,142.28
9,169.41
10,198.07
11,228.18
12,259.68
13,292.48
14,326.54
15,361.8
16,398.2
17,435.71
18,474.28
19,513.88
20,554.47
21,596.03
22,638.5
23,681.85
24,726.04
25,771.04
26,816.84
27,863.4
28,910.71
29,958.75
30,1007.5
31,1056.95
32,1107.07
33,1157.86
34,1209.29
35,1261.35
36,1314.03
37,1367.3
38,1421.17
39,1475.62
40,1530.63
41,1586.19
42,1642.29
43,1698.92
44,1756.06
45,1813.71
46,1871.86
47,1930.5
48,1989.61
49,2049.18
50,2109.22
51,2169.7
52,2230.62
53,2291.97
54,2353.75
55,2415.95
56,2478.57
57,2541.61
58,2605.05
59,2668.88
60,2733.11
61,2797.72
62,2862.7
63,2928.05
64,2993.76
65,3059.82
66,3126.23
67,3192.97
68,3260.05
69,3327.44
70,3395.15
71,3463.18
72,3531.5
73,3600.12
74,3669.03
75,3738.23
76,3807.7
77,3877.44
78,3947.44
79,4017.71
80,4088.22
81,4158.98
82,4229.98
83,4301.22
84,4372.68
85,4444.36
86,4516.26
87,4588.38
88,4660.69
89,4733.21
90,4805.92
91,4878.82
92,4951.9
93,5025.16
94,5098.59
95,5172.19
96,5245.95
97,5319.86
98,5393.93
99,5468.14
100,5542.49
101,5616.98
102,5691.6
103,5766.34
104,5841.2
105,5916.18
106,5991.26
107,6066.45
108,6141.74
109,6217.13
110,6292.6
111,6368.16
112,6443.8
113,6519.52
114,6595.3
115,6671.15
116,6747.06
117,6823.02
118,6899.04
119,6975.1
120,7051.2
121,7127.33
122,7203.5
123,7279.7
124,7355.91
125,7432.14
126,7508.39
127,7584.64
128,7660.89
129,7737.14
130,7813.39
131,7889.62
132,7965.83
133,8042.02
134,8118.19
135,8194.32
136,8270.42
137,8346.47
138,8422.48
139,8498.44
140,8574.35
141,8650.19
142,8725.97
143,8801.67
144,8877.3
145,8952.86
146,9028.32
147,9103.7
148,9178.98
149,9254.16
150,9329.23
151,9404.2
152,9479.05
153,9553.78
154,9628.38
155,9702.86
156,9777.19
157,9851.39
158,9925.44
159,9999.34
160,10073.09
161,10146.67
162,10220.08
163,10293.32
164,10366.39
165,10439.27
166,10511.96
167,10584.45
168,10656.75
169,10728.84
170,10800.72
171,10872.38
172,10943.82
173,11015.04
174,11086.01
175,11156.75
176,11227.24
177,11297.48
178,11367.46
179,11437.17
180,11506.61
181,11575.78
182,11644.66
183,11713.25
184,11781.55
185,11849.54
186,11917.22
187,11984.58
188,12051.62
189,12118.33
190,12184.71
191,12250.73
192,12316.41
193,12381.72
194,12446.67
195,12511.24
196,12575.43
197,12639.22
198,12702.62
199,12765.61
200,12828.19
201,12890.35
202,12952.09
203,13013.4
204,13074.28
205,13134.71
206,13194.7
207,13254.23
208,13313.3
209,13371.88
210,13429.98
211,13487.58
212,13544.68
213,13601.25
214,13657.3
215,13712.81
216,13767.76
217,13822.15
218,13875.96
219,13929.18
220,13981.79
221,14033.79
222,14085.16
223,14135.88
224,14185.93
225,14235.31
226,14283.99
227,14331.96
228,14379.2
229,14425.69
230,14471.4
231,14516.32
232,14560.43
233,14603.7
234,14646.08
235,14687.54
236,14728.03
237,14767.53
238,14806
239,14843.4
240,14879.69
241,14914.83
242,14948.76
243,14981.44
244,15012.8
245,15042.77
246,15071.28
247,15098.26
248,15123.63
249,15147.31
250,15169.12
251,15188.88
252,15206.32
253,15221.04
254,15232.36
255,15237.91
