Manufacturer ,Arxo
Name ,T.A 60.000L15_15_15_15  2549 COMP D
Volume (L),15289
Diameter,2.549
Level (cm) ,Volume (L) 
1,6.23
2,17.72
3,32.66
4,50.37
5,70.46
6,92.66
7,116.77
8,142.64
9,170.13
10,199.12
11,229.52
12,261.26
13,294.25
14,328.46
15,363.83
16,400.3
17,437.84
18,476.41
19,515.98
20,556.5
21,597.95
22,640.3
23,683.54
24,727.65
25,772.6
26,818.36
27,864.92
28,912.26
29,960.36
30,1009.19
31,1058.74
32,1108.99
33,1159.93
34,1211.53
35,1263.79
36,1316.69
37,1370.21
38,1424.34
39,1479.07
40,1534.38
41,1590.26
42,1646.7
43,1703.69
44,1761.22
45,1819.27
46,1877.84
47,1936.9
48,1996.47
49,2056.51
50,2117.03
51,2178.01
52,2239.44
53,2301.32
54,2363.63
55,2426.36
56,2489.51
57,2553.05
58,2616.99
59,2681.32
60,2746.02
61,2811.09
62,2876.52
63,2942.3
64,3008.43
65,3074.91
66,3141.71
67,3208.84
68,3276.29
69,3344.05
70,3412.12
71,3480.48
72,3549.14
73,3618.08
74,3687.3
75,3756.8
76,3826.56
77,3896.59
78,3966.87
79,4037.4
80,4108.17
81,4179.18
82,4250.42
83,4321.89
84,4393.57
85,4465.47
86,4537.58
87,4609.9
88,4682.41
89,4755.11
90,4828.01
91,4901.08
92,4974.33
93,5047.75
94,5121.34
95,5195.09
96,5268.99
97,5343.05
98,5417.25
99,5491.59
100,5566.07
101,5640.67
102,5715.41
103,5790.26
104,5865.23
105,5940.31
106,6015.5
107,6090.78
108,6166.16
109,6241.64
110,6317.2
111,6392.84
112,6468.56
113,6544.35
114,6620.21
115,6696.14
116,6772.12
117,6848.15
118,6924.23
119,7000.36
120,7076.52
121,7152.72
122,7228.95
123,7305.21
124,7381.49
125,7457.78
126,7534.08
127,7610.39
128,7686.71
129,7763.02
130,7839.32
131,7915.61
132,7991.88
133,8068.14
134,8144.36
135,8220.56
136,8296.72
137,8372.85
138,8448.92
139,8524.95
140,8600.93
141,8676.84
142,8752.7
143,8828.48
144,8904.19
145,8979.83
146,9055.38
147,9130.85
148,9206.22
149,9281.5
150,9356.67
151,9431.74
152,9506.7
153,9581.54
154,9656.26
155,9730.85
156,9805.32
157,9879.65
158,9953.83
159,10027.87
160,10101.76
161,10175.49
162,10249.07
163,10322.47
164,10395.7
165,10468.76
166,10541.63
167,10614.32
168,10686.81
169,10759.1
170,10831.19
171,10903.07
172,10974.74
173,11046.18
174,11117.4
175,11188.39
176,11259.13
177,11329.64
178,11399.89
179,11469.89
180,11539.63
181,11609.1
182,11678.29
183,11747.21
184,11815.84
185,11884.17
186,11952.21
187,12019.94
188,12087.36
189,12154.45
190,12221.22
191,12287.66
192,12353.76
193,12419.51
194,12484.91
195,12549.94
196,12614.6
197,12678.89
198,12742.79
199,12806.29
200,12869.4
201,12932.09
202,12994.36
203,13056.19
204,13117.58
205,13178.51
206,13238.98
207,13298.98
208,13358.49
209,13417.51
210,13476.02
211,13534.02
212,13591.5
213,13648.43
214,13704.82
215,13760.65
216,13815.9
217,13870.57
218,13924.64
219,13978.1
220,14030.93
221,14083.13
222,14134.66
223,14185.53
224,14235.72
225,14285.19
226,14333.95
227,14381.97
228,14429.24
229,14475.72
230,14521.4
231,14566.27
232,14610.29
233,14653.44
234,14695.7
235,14737.06
236,14777.49
237,14816.96
238,14855.43
239,14892.86
240,14929.23
241,14964.48
242,14998.57
243,15031.44
244,15063.04
245,15093.31
246,15122.15
247,15149.49
248,15175.19
249,15199.12
250,15221.12
251,15240.98
252,15258.44
253,15273.07
254,15284.15
255,15289.47
