Manufacturer ,Arxo
Name ,T.A 60.000L 30_30 2549 COMP A
Volume (L),30588
Diameter,2.549
Level (cm) ,Volume (L) 
1,12.61
2,35.73
3,65.70
4,101.18
5,141.39
6,185.79
7,233.99
8,285.68
9,340.61
10,398.55
11,459.32
12,522.77
13,588.77
14,657.21
15,727.97
16,800.97
17,876.11
18,953.33
19,1032.54
20,1113.69
21,1196.70
22,1281.53
23,1368.13
24,1456.45
25,1546.44
26,1638.07
27,1731.28
28,1826.03
29,1922.29
30,2020.01
31,2119.17
32,2219.72
33,2321.63
34,2424.87
35,2529.41
36,2635.23
37,2742.28
38,2850.55
39,2960.01
40,3070.63
41,3182.38
42,3295.25
43,3409.21
44,3524.23
45,3640.30
46,3757.39
47,3875.49
48,3994.56
49,4114.59
50,4235.57
51,4357.47
52,4480.27
53,4603.96
54,4728.51
55,4853.90
56,4980.12
57,5107.15
58,5234.97
59,5363.56
60,5492.92
61,5623.01
62,5753.83
63,5885.37
64,6017.61
65,6150.52
66,6284.11
67,6418.36
68,6553.24
69,6688.75
70,6824.88
71,6961.61
72,7098.93
73,7236.83
74,7375.28
75,7514.29
76,7653.84
77,7793.91
78,7934.49
79,8075.58
80,8217.16
81,8359.21
82,8501.73
83,8644.70
84,8788.12
85,8931.97
86,9076.24
87,9220.92
88,9366.00
89,9511.47
90,9657.32
91,9803.53
92,9950.09
93,10097.00
94,10244.25
95,10391.82
96,10539.70
97,10687.89
98,10836.37
99,10985.13
100,11134.16
101,11283.46
102,11433.01
103,11582.81
104,11732.83
105,11883.08
106,12033.55
107,12184.21
108,12335.07
109,12486.12
110,12637.33
111,12788.72
112,12940.25
113,13091.94
114,13243.76
115,13395.70
116,13547.76
117,13699.93
118,13852.20
119,14004.56
120,14156.99
121,14309.50
122,14462.07
123,14614.68
124,14767.34
125,14920.03
126,15072.74
127,15225.47
128,15378.20
129,15530.93
130,15683.64
131,15836.33
132,15988.98
133,16141.60
134,16294.16
135,16446.65
136,16599.08
137,16751.43
138,16903.69
139,17055.85
140,17207.90
141,17359.83
142,17511.64
143,17663.31
144,17814.83
145,17966.20
146,18117.40
147,18268.42
148,18419.27
149,18569.91
150,18720.35
151,18870.58
152,19020.58
153,19170.35
154,19319.88
155,19469.15
156,19618.16
157,19766.90
158,19915.35
159,20063.50
160,20211.36
161,20358.89
162,20506.11
163,20652.98
164,20799.51
165,20945.69
166,21091.49
167,21236.92
168,21381.96
169,21526.60
170,21670.83
171,21814.64
172,21958.02
173,22100.95
174,22243.42
175,22385.43
176,22526.95
177,22667.99
178,22808.52
179,22948.54
180,23088.04
181,23226.99
182,23365.39
183,23503.23
184,23640.49
185,23777.16
186,23913.23
187,24048.68
188,24183.50
189,24317.68
190,24451.20
191,24584.05
192,24716.22
193,24847.68
194,24978.43
195,25108.45
196,25237.73
197,25366.25
198,25493.99
199,25620.94
200,25747.08
201,25872.39
202,25996.85
203,26120.45
204,26243.16
205,26364.97
206,26485.85
207,26605.79
208,26724.77
209,26842.76
210,26959.75
211,27075.72
212,27190.64
213,27304.49
214,27417.25
215,27528.89
216,27639.39
217,27748.73
218,27856.88
219,27963.81
220,28069.50
221,28173.91
222,28277.03
223,28378.80
224,28479.21
225,28578.23
226,28675.81
227,28771.92
228,28866.52
229,28959.57
230,29051.03
231,29140.86
232,29229.01
233,29315.43
234,29400.08
235,29482.91
236,29563.87
237,29642.88
238,29719.90
239,29794.83
240,29867.61
241,29938.15
242,30006.34
243,30072.09
244,30135.28
245,30195.78
246,30253.43
247,30308.04
248,30359.40
249,30407.23
250,30451.23
251,30490.99
252,30525.96
253,30555.32
254,30577.64
255,30588.40
