Manufacturer ,Arxo
Name ,T.A 60.000L 30_30 2549 COMP B
Volume (L),30552
Diameter,2.549
Level (cm) ,Volume (L) 
1,12.74
2,35.95
3,65.93
4,101.36
5,141.46
6,185.70
7,233.70
8,285.16
9,339.82
10,397.53
11,458.09
12,521.37
13,587.23
14,655.55
15,726.23
16,799.17
17,874.28
18,951.49
19,1030.72
20,1111.90
21,1194.97
22,1279.87
23,1366.53
24,1454.90
25,1544.93
26,1636.56
27,1729.77
28,1824.50
29,1920.71
30,2018.38
31,2117.46
32,2217.92
33,2319.72
34,2422.84
35,2527.25
36,2632.91
37,2739.80
38,2847.89
39,2957.15
40,3067.57
41,3179.10
42,3291.74
43,3405.45
44,3520.22
45,3636.02
46,3752.83
47,3870.63
48,3989.40
49,4109.13
50,4229.78
51,4351.34
52,4473.80
53,4597.13
54,4721.32
55,4846.36
56,4972.23
57,5098.92
58,5226.40
59,5354.67
60,5483.71
61,5613.49
62,5744.02
63,5875.26
64,6007.21
65,6139.86
66,6273.18
67,6407.17
68,6541.80
69,6677.07
70,6812.96
71,6949.46
72,7086.56
73,7224.24
74,7362.49
75,7501.29
76,7640.64
77,7780.53
78,7920.93
79,8061.84
80,8203.24
81,8345.13
82,8487.49
83,8630.31
84,8773.58
85,8917.29
86,9061.42
87,9205.96
88,9350.91
89,9496.26
90,9641.98
91,9788.08
92,9934.53
93,10081.33
94,10228.47
95,10375.94
96,10523.73
97,10671.83
98,10820.22
99,10968.89
100,11117.85
101,11267.06
102,11416.54
103,11566.26
104,11716.22
105,11866.40
106,12016.79
107,12167.40
108,12318.20
109,12469.18
110,12620.34
111,12771.67
112,12923.16
113,13074.79
114,13226.56
115,13378.46
116,13530.47
117,13682.60
118,13834.82
119,13987.14
120,14139.53
121,14292.00
122,14444.52
123,14597.10
124,14749.72
125,14902.37
126,15055.04
127,15207.73
128,15360.43
129,15513.11
130,15665.79
131,15818.44
132,15971.05
133,16123.62
134,16276.14
135,16428.60
136,16580.99
137,16733.29
138,16885.51
139,17037.62
140,17189.63
141,17341.51
142,17493.27
143,17644.89
144,17796.36
145,17947.67
146,18098.81
147,18249.78
148,18400.56
149,18551.14
150,18701.52
151,18851.68
152,19001.61
153,19151.31
154,19300.76
155,19449.95
156,19598.88
157,19747.53
158,19895.89
159,20043.95
160,20191.71
161,20339.14
162,20486.25
163,20633.02
164,20779.44
165,20925.50
166,21071.19
167,21216.49
168,21361.40
169,21505.90
170,21649.99
171,21793.66
172,21936.88
173,22079.66
174,22221.97
175,22363.81
176,22505.17
177,22646.03
178,22786.38
179,22926.20
180,23065.50
181,23204.25
182,23342.44
183,23480.07
184,23617.10
185,23753.54
186,23889.38
187,24024.58
188,24159.15
189,24293.07
190,24426.33
191,24558.90
192,24690.78
193,24821.96
194,24952.41
195,25082.12
196,25211.08
197,25339.27
198,25466.68
199,25593.28
200,25719.07
201,25844.02
202,25968.13
203,26091.38
204,26213.75
205,26335.22
206,26455.78
207,26575.41
208,26694.08
209,26811.78
210,26928.49
211,27044.19
212,27158.86
213,27272.46
214,27384.99
215,27496.42
216,27606.71
217,27715.86
218,27823.83
219,27930.60
220,28036.14
221,28140.42
222,28243.41
223,28345.08
224,28445.40
225,28544.34
226,28641.87
227,28737.93
228,28832.51
229,28925.56
230,29017.04
231,29106.90
232,29195.10
233,29281.59
234,29366.31
235,29449.19
236,29530.18
237,29609.21
238,29686.22
239,29761.12
240,29833.83
241,29904.28
242,29972.36
243,30037.96
244,30100.97
245,30161.27
246,30218.67
247,30273.03
248,30324.15
249,30371.79
250,30415.68
251,30455.32
252,30490.25
253,30519.62
254,30542.02
255,30552.89
