Manufacturer ,TMT
Name ,20000L BIPARTIDO 
Volume (L),10134
Diameter,2.54
Level (cm) ,Volume (L) 
1,4.24
2,11.99
3,22.01
4,33.84
5,47.23
6,62.02
7,78.06
8,95.25
9,113.52
10,132.8
11,153.02
12,174.14
13,196.12
14,218.91
15,242.48
16,266.8
17,291.84
18,317.57
19,343.97
20,371.02
21,398.69
22,426.97
23,455.84
24,485.28
25,515.27
26,545.81
27,576.86
28,608.43
29,640.5
30,673.05
31,706.07
32,739.56
33,773.5
34,807.88
35,842.68
36,877.91
37,913.55
38,949.59
39,986.03
40,1022.85
41,1060.04
42,1097.6
43,1135.53
44,1173.8
45,1212.43
46,1251.39
47,1290.68
48,1330.29
49,1370.22
50,1410.47
51,1451.02
52,1491.87
53,1533.01
54,1574.44
55,1616.14
56,1658.13
57,1700.38
58,1742.9
59,1785.68
60,1828.71
61,1871.99
62,1915.51
63,1959.27
64,2003.26
65,2047.49
66,2091.93
67,2136.6
68,2181.48
69,2226.57
70,2271.86
71,2317.36
72,2363.05
73,2408.93
74,2455.01
75,2501.26
76,2547.7
77,2594.31
78,2641.09
79,2688.04
80,2735.15
81,2782.43
82,2829.85
83,2877.43
84,2925.16
85,2973.03
86,3021.04
87,3069.19
88,3117.47
89,3165.88
90,3214.41
91,3263.07
92,3311.84
93,3360.73
94,3409.74
95,3458.84
96,3508.06
97,3557.37
98,3606.78
99,3656.28
100,3705.88
101,3755.56
102,3805.33
103,3855.17
104,3905.09
105,3955.09
106,4005.16
107,4055.29
108,4105.49
109,4155.75
110,4206.06
111,4256.43
112,4306.85
113,4357.32
114,4407.83
115,4458.38
116,4508.97
117,4559.6
118,4610.26
119,4660.94
120,4711.65
121,4762.39
122,4813.14
123,4863.91
124,4914.69
125,4965.48
126,5016.28
127,5067.07
128,5117.87
129,5168.67
130,5219.46
131,5270.24
132,5321.01
133,5371.76
134,5422.49
135,5473.21
136,5523.89
137,5574.55
138,5625.18
139,5675.77
140,5726.32
141,5776.83
142,5827.3
143,5877.72
144,5928.09
145,5978.4
146,6028.66
147,6078.86
148,6128.99
149,6179.06
150,6229.06
151,6278.98
152,6328.82
153,6378.59
154,6428.27
155,6477.87
156,6527.37
157,6576.78
158,6626.09
159,6675.31
160,6724.41
161,6773.42
162,6822.3
163,6871.08
164,6919.74
165,6968.27
166,7016.68
167,7064.96
168,7113.11
169,7161.12
170,7208.99
171,7256.72
172,7304.3
173,7351.72
174,7399
175,7446.11
176,7493.06
177,7539.84
178,7586.45
179,7632.89
180,7679.14
181,7725.22
182,7771.1
183,7816.79
184,7862.29
185,7907.58
186,7952.67
187,7997.55
188,8042.22
189,8086.66
190,8130.89
191,8174.88
192,8218.64
193,8262.16
194,8305.44
195,8348.47
196,8391.25
197,8433.77
198,8476.02
199,8518
200,8559.71
201,8601.14
202,8642.28
203,8683.13
204,8723.68
205,8763.92
206,8803.86
207,8843.47
208,8882.79
209,8921.72
210,8960.35
211,8998.62
212,9036.54
213,9074.11
214,9111.3
215,9148.12
216,9184.56
217,9220.6
218,9256.24
219,9291.46
220,9326.27
221,9360.65
222,9394.59
223,9428.08
224,9461.1
225,9493.65
226,9525.72
227,9557.29
228,9588.34
229,9618.88
230,9648.87
231,9678.31
232,9707.18
233,9735.46
234,9763.13
235,9790.18
236,9816.58
237,9842.31
238,9867.35
239,9891.67
240,9915.24
241,9938.03
242,9960.01
243,9981.13
244,10001.35
245,10020.63
246,10038.9
247,10056.09
248,10072.13
249,10086.92
250,10100.31
251,10112.14
252,10122.16
253,10129.9
254,10134.15
